User ID,Sequence,Time,Coordinates,Label,Label Time,Label Coordinates
0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1333867983.0, 1334102386.0, 1334115411.0, 1334203489.0, 1334255158.0, 1334295290.0, 1334595624.0, 1334811087.0, 1334895503.0, 1334999012.0]","[(45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632)]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1334102386.0, 1334115411.0, 1334203489.0, 1334255158.0, 1334295290.0, 1334595624.0, 1334811087.0, 1334895503.0, 1334999012.0, 1335162507.0]","[(45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632)]"
0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 8]","[1335162507.0, 1335244507.0, 1335576504.0, 1335687463.0, 1335941916.0, 1336110308.0, 1336198966.0, 1336357074.0, 1336525995.0, 1336703845.0]","[(45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (33.943894, -118.405023)]","[2, 2, 2, 2, 2, 2, 2, 2, 8, 9]","[1335244507.0, 1335576504.0, 1335687463.0, 1335941916.0, 1336110308.0, 1336198966.0, 1336357074.0, 1336525995.0, 1336703845.0, 1336762827.0]","[(45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (33.943894, -118.405023), (33.810924, -117.919436)]"
0,"[9, 27, 26, 9, 5, 5, 6, 4, 4, 3]","[1336762827.0, 1336768300.0, 1336777506.0, 1336783489.0, 1336785021.0, 1336931785.0, 1336932425.0, 1336932921.0, 1336932963.0, 1336942717.0]","[(33.810924, -117.919436), (33.811775, -117.922096), (33.809177, -117.924392), (33.810924, -117.919436), (33.814811, -117.924843), (33.814811, -117.924843), (33.813527, -117.924671), (33.807536, -117.919607), (33.807536, -117.919607), (33.806181, -117.921163)]","[27, 26, 9, 5, 5, 6, 4, 4, 3, 26]","[1336768300.0, 1336777506.0, 1336783489.0, 1336785021.0, 1336931785.0, 1336932425.0, 1336932921.0, 1336932963.0, 1336942717.0, 1336943976.0]","[(33.811775, -117.922096), (33.809177, -117.924392), (33.810924, -117.919436), (33.814811, -117.924843), (33.814811, -117.924843), (33.813527, -117.924671), (33.807536, -117.919607), (33.807536, -117.919607), (33.806181, -117.921163), (33.809177, -117.924392)]"
0,"[26, 25, 2, 2, 2, 7, 24, 23, 22, 21]","[1336943976.0, 1336962726.0, 1337146678.0, 1337443505.0, 1337665993.0, 1337687483.0, 1337697065.0, 1337794244.0, 1337968516.0, 1338135576.0]","[(33.809177, -117.924392), (33.81145, -117.917386), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.589169, -122.593796), (40.787427, -111.981566), (38.891242, -77.026091), (39.157156, -76.72485), (38.853044, -77.042313)]","[25, 2, 2, 2, 7, 24, 23, 22, 21, 7]","[1336962726.0, 1337146678.0, 1337443505.0, 1337665993.0, 1337687483.0, 1337697065.0, 1337794244.0, 1337968516.0, 1338135576.0, 1338170503.0]","[(33.81145, -117.917386), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.589169, -122.593796), (40.787427, -111.981566), (38.891242, -77.026091), (39.157156, -76.72485), (38.853044, -77.042313), (45.589169, -122.593796)]"
0,"[7, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1338170503.0, 1338252993.0, 1338874973.0, 1339077515.0, 1339313961.0, 1339389320.0, 1340255888.0, 1340767291.0, 1341120940.0, 1341365146.0]","[(45.589169, -122.593796), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632)]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 7]","[1338252993.0, 1338874973.0, 1339077515.0, 1339313961.0, 1339389320.0, 1340255888.0, 1340767291.0, 1341120940.0, 1341365146.0, 1341444024.0]","[(45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.589169, -122.593796)]"
0,"[7, 16, 12, 17, 18, 17, 18, 18, 11, 18]","[1341444024.0, 1341457973.0, 1341460446.0, 1341539119.0, 1341552153.0, 1341627530.0, 1341635703.0, 1341647078.0, 1341688620.0, 1341690510.0]","[(45.589169, -122.593796), (36.08365, -115.149851), (36.011026, -115.175042), (36.116037, -115.17427), (36.121566, -115.175171), (36.116037, -115.17427), (36.121566, -115.175171), (36.121566, -115.175171), (36.170291, -115.14498), (36.121566, -115.175171)]","[16, 12, 17, 18, 17, 18, 18, 11, 18, 20]","[1341457973.0, 1341460446.0, 1341539119.0, 1341552153.0, 1341627530.0, 1341635703.0, 1341647078.0, 1341688620.0, 1341690510.0, 1341783384.0]","[(36.08365, -115.149851), (36.011026, -115.175042), (36.116037, -115.17427), (36.121566, -115.175171), (36.116037, -115.17427), (36.121566, -115.175171), (36.121566, -115.175171), (36.170291, -115.14498), (36.121566, -115.175171), (36.112912, -115.173293)]"
0,"[20, 19, 18, 11, 11, 11, 17, 16, 2, 2]","[1341783384.0, 1341788114.0, 1341796357.0, 1341803504.0, 1341822512.0, 1341825354.0, 1341859250.0, 1341870699.0, 1341983956.0, 1342067128.0]","[(36.112912, -115.173293), (36.110247, -115.171824), (36.121566, -115.175171), (36.170291, -115.14498), (36.170291, -115.14498), (36.170291, -115.14498), (36.116037, -115.17427), (36.08365, -115.149851), (45.425242, -122.553632), (45.425242, -122.553632)]","[19, 18, 11, 11, 11, 17, 16, 2, 2, 2]","[1341788114.0, 1341796357.0, 1341803504.0, 1341822512.0, 1341825354.0, 1341859250.0, 1341870699.0, 1341983956.0, 1342067128.0, 1342142246.0]","[(36.110247, -115.171824), (36.121566, -115.175171), (36.170291, -115.14498), (36.170291, -115.14498), (36.170291, -115.14498), (36.116037, -115.17427), (36.08365, -115.149851), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632)]"
0,"[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1342142246.0, 1342504534.0, 1343460449.0, 1343528472.0, 1343548776.0, 1343617906.0, 1344925549.0, 1345430947.0, 1345269065.0, 1346905777.0]","[(45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632)]","[2, 2, 2, 2, 2, 2, 2, 2, 2, 2]","[1342504534.0, 1343460449.0, 1343528472.0, 1343548776.0, 1343617906.0, 1344925549.0, 1345430947.0, 1345269065.0, 1346905777.0, 1350609007.0]","[(45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632)]"
0,"[2, 2, 7, 0, 15, 15, 2, 2, 2, 2]","[1350609007.0, 1351057421.0, 1351371878.0, 1351386226.0, 1351392967.0, 1351687698.0, 1352178694.0, 1352706763.0, 1353399016.0, 1353576049.0]","[(45.425242, -122.553632), (45.425242, -122.553632), (45.589169, -122.593796), (39.851973, -104.673743), (39.297277, -94.715903), (39.297277, -94.715903), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632)]","[2, 7, 0, 15, 15, 2, 2, 2, 2, 2]","[1351057421.0, 1351371878.0, 1351386226.0, 1351392967.0, 1351687698.0, 1352178694.0, 1352706763.0, 1353399016.0, 1353576049.0, 1353834727.0]","[(45.425242, -122.553632), (45.589169, -122.593796), (39.851973, -104.673743), (39.297277, -94.715903), (39.297277, -94.715903), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632), (45.425242, -122.553632)]"
0,"[2, 2, 7, 8, 5, 6, 9, 14, 13, 9]","[1353834727.0, 1354341500.0, 1354368191.0, 1354500545.0, 1354557641.0, 1354557655.0, 1354557713.0, 1354584481.0, 1354586867.0, 1354649216.0]","[(45.425242, -122.553632), (45.425242, -122.553632), (45.589169, -122.593796), (33.943894, -118.405023), (33.814811, -117.924843), (33.813527, -117.924671), (33.810924, -117.919436), (33.805522, -117.918717), (33.80447, -117.920702), (33.810924, -117.919436)]","[2, 7, 8, 5, 6, 9, 14, 13, 9, 12]","[1354341500.0, 1354368191.0, 1354500545.0, 1354557641.0, 1354557655.0, 1354557713.0, 1354584481.0, 1354586867.0, 1354649216.0, 1354928388.0]","[(45.425242, -122.553632), (45.589169, -122.593796), (33.943894, -118.405023), (33.814811, -117.924843), (33.813527, -117.924671), (33.810924, -117.919436), (33.805522, -117.918717), (33.80447, -117.920702), (33.810924, -117.919436), (36.011026, -115.175042)]"
